,Adjusted Postcode,Unnamed: 0,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %,number of trips,number of stops,trips per stop,suburb
11,3023,191,42548,45272,47384,48530,49365,6817,9.040908287683337,9814,209,46.95693779904306,Burnside
12,3024,285,24270,33524,44369,55077,65947,41677,96.71578570576304,3170,98,32.3469387755102,Manor Lakes
14,3028,393,34899,38995,40691,42190,43810,8911,12.347736889344787,4291,77,55.72727272727273,Altona Meadows
15,3029,515,61032,92755,117563,137618,157233,96201,69.51431189693278,15560,407,38.23095823095823,Hoppers Crossing
20,3037,725,62949,70480,80828,95575,111036,48087,57.54256526674234,4671,120,38.925,Delahey
21,3038,398,32398,32334,32448,32742,33186,788,2.634997216552236,4625,115,40.21739130434783,Keilor Downs
93,3173,148,27471,32532,36093,37937,39749,12278,22.184310832411164,5280,122,43.278688524590166,Keysborough
106,3199,230,42505,44614,46546,48651,51036,8531,14.394584659523915,12850,280,45.892857142857146,Frankston
112,3337,334,37717,43397,46734,49907,53841,16124,24.06617968984031,5538,183,30.262295081967213,Harkness
113,3338,167,24243,34384,46165,58355,70474,46231,104.96161005118661,2392,72,33.22222222222222,Brookfield
114,3429,247,40924,46226,52900,60940,70176,29252,51.81066932029593,6465,225,28.733333333333334,Sunbury
